Motor Vehicle Collision Report Statistics Citywide/September 2023,,,,,,,,,,,,,
September 2023,,,,,,,,,,,,,
Collisions,,,,,,,,,,,,,
GeoCode,GeoCodeLabel,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle
060,60th Precinct,78,144,27,14,0,14,0,6,0,5,0,5
061,61st Precinct,140,271,73,41,0,19,0,6,0,21,0,6
062,62nd Precinct,127,241,53,18,0,16,0,10,0,14,1,12
063,63rd Precinct,119,249,49,41,1,17,0,5,0,7,0,7
066,66th Precinct,108,199,52,19,0,12,0,11,1,14,0,12
067,67th Precinct,179,345,87,58,0,38,0,7,0,19,0,11
068,68th Precinct,120,242,49,22,0,16,0,8,0,12,0,9
069,69th Precinct,107,211,51,41,0,26,0,4,0,7,0,4
070,70th Precinct,138,250,73,30,0,33,0,13,0,17,0,14
071,71st Precinct,105,207,46,27,0,23,1,5,0,8,0,5
072,72nd Precinct,148,292,71,35,0,26,1,17,0,6,0,19
073,73rd Precinct,113,214,44,19,0,24,0,7,0,12,0,7
075,75th Precinct,271,548,119,69,0,53,0,11,0,29,0,11
076,76th Precinct,71,143,24,16,0,10,0,4,0,4,0,6
077,77th Precinct,116,221,43,20,0,15,0,8,0,8,0,8
078,78th Precinct,102,194,48,23,0,16,0,11,0,10,0,13
079,79th Precinct,107,211,39,16,0,12,0,8,0,8,0,8
081,81st Precinct,85,178,37,26,0,18,0,2,0,9,0,5
083,83rd Precinct,143,268,57,32,0,10,0,10,0,12,0,13
084,84th Precinct,90,174,28,14,0,12,0,4,0,5,0,6
088,88th Precinct,94,162,43,17,0,12,0,12,0,10,0,12
090,90th Precinct,157,304,57,23,0,22,0,17,0,8,0,19
094,94th Precinct,104,212,43,28,0,12,0,6,0,3,0,7
Q,QUEENS,2201,4266,978,642,0,394,0,106,1,184,1,127
100,100th Precinct,30,52,15,9,0,2,0,4,0,2,0,4
101,101st Precinct,60,108,22,11,0,10,0,4,0,6,0,5
102,102nd Precinct,125,237,47,22,0,18,0,5,0,13,0,7
103,103rd Precinct,139,258,59,22,0,20,0,7,0,25,0,9
104,104th Precinct,168,337,70,50,0,26,0,6,0,12,0,10
105,105th Precinct,191,386,86,72,0,42,0,9,0,9,1,9
106,106th Precinct,130,259,78,63,0,38,0,4,1,14,0,5
107,107th Precinct,123,252,63,49,0,15,0,4,0,8,0,4
108,108th Precinct,162,309,86,56,0,36,0,15,0,13,0,17
109,109th Precinct,204,380,81,42,0,28,0,9,0,19,0,10
110,110th Precinct,141,260,61,35,0,25,0,8,0,16,0,10
111,111th Precinct,132,266,49,39,0,22,0,0,0,7,0,1
112,112th Precinct,98,181,31,14,0,10,0,7,0,5,0,8
113,113th Precinct,132,273,59,48,0,38,0,1,0,5,0,2
114,114th Precinct,220,416,104,65,0,37,0,15,0,17,0,17
115,115th Precinct,146,292,67,45,0,27,0,8,0,13,0,9
S,STATEN ISLAND,466,881,192,150,3,65,1,8,0,39,0,10
120,120th Precinct,108,202,44,33,0,12,0,4,0,11,0,6
121,121st Precinct,150,288,56,56,0,17,0,1,0,8,0,1
122,122nd Precinct,147,281,65,45,3,29,1,1,0,12,0,1
123,123rd Precinct,61,110,27,16,0,7,0,2,0,8,0,2
NOTES:,,,,,,,,,,,,,
"The persons involved reflects all motorists, however they do not reflect other persons involved unless they were injured or killed.",,,,,,,,,,,,,
The category of “Motorist” includes the owner of a parked vehicle. Contributing factors are listed when known.,,,,,,,,,,,,,
All figures are preliminary and subject to change.,,,,,,,,,,,,,
"A collision at an intersection located on a precinct border may appear in the list of intersections of any precinct that shares that intersection,",,,,,,,,,,,,,
but will appear in only one precinct list. Collision location is captured as the nearest intersection.,,,,,,,,,,,,,
"A collision on a highway, bridge or tunnel which occurs at or near a precinct border may appear in the list of highways, bridges or tunnels of any precinct",,,,,,,,,,,,,
"that shares that location, but will appear in only one precinct list. Collision location is captured as the nearest highway/bridge/tunnel reference/mile marker.",,,,,,,,,,,,,
