State,Job_title,Median_salary
Pennsylvania,Computer Systems Analysts,83460
Pennsylvania,Database Architects,125790
Pennsylvania,Data Scientists,97260
Rhode Island,"Business Operations Specialists, All Other",79230
Rhode Island,Computer Systems Analysts,107140
Rhode Island,Database Architects,116980
Rhode Island,Data Scientists,128350
South Carolina,"Business Operations Specialists, All Other",73690
South Carolina,Computer Systems Analysts,92990
South Carolina,Database Architects,130020
South Carolina,Data Scientists,95310
South Dakota,"Business Operations Specialists, All Other",81000
South Dakota,Computer Systems Analysts,92290
South Dakota,Database Architects,113410
South Dakota,Data Scientists,91460
Tennessee,"Business Operations Specialists, All Other",64380
Tennessee,Computer Systems Analysts,94490
Tennessee,Database Architects,120000
Tennessee,Data Scientists,92400
Texas,"Business Operations Specialists, All Other",79490
Texas,Computer Systems Analysts,107200
Texas,Database Architects,138090
Texas,Data Scientists,100100
Utah,"Business Operations Specialists, All Other",76590
Utah,Computer Systems Analysts,90650
Utah,Database Architects,149200
Utah,Data Scientists,97490
Vermont,"Business Operations Specialists, All Other",68220
Vermont,Database Architects,129950
Vermont,Data Scientists,117500
Virginia,"Business Operations Specialists, All Other",83840
Virginia,Computer Systems Analysts,108350
Virginia,Database Architects,138300
Virginia,Data Scientists,136490
Washington,"Business Operations Specialists, All Other",84380
Washington,Computer Systems Analysts,128710
Washington,Database Architects,144910
Washington,Data Scientists,132620
West Virginia,"Business Operations Specialists, All Other",66560
West Virginia,Computer Systems Analysts,98090
West Virginia,Database Architects,72260
West Virginia,Data Scientists,67660
Wisconsin,"Business Operations Specialists, All Other",63040
Wisconsin,Computer Systems Analysts,89980
Wisconsin,Database Architects,134020
Wisconsin,Data Scientists,101850
Wyoming,"Business Operations Specialists, All Other",74240
Wyoming,Computer Systems Analysts,106540
Wyoming,Database Architects,57610
Wyoming,Data Scientists,130370
Guam,"Business Operations Specialists, All Other",82830
Puerto Rico,"Business Operations Specialists, All Other",44780
Puerto Rico,Computer Systems Analysts,60350
Puerto Rico,Database Architects,64500
Puerto Rico,Data Scientists,75880
Virgin Islands,"Business Operations Specialists, All Other",62820
Virgin Islands,Computer Systems Analysts,54950
